Id;Fransizca;Ingilizce;Turkce;Tur;Okunus;Sa
7064;potage;soup;çorba;m.;potaj;1733
7065;potager;vegetable garden;sebze bahçesi;m.;potaje;1733
7066;potassium;potassium;potasyum;m.;potasyom;-1
7067;potentiel (-le);potential;gizli, gizilgüç;adj.;potansiyel;-1
7068;pou;louse;bit;m.;pu;-1
7069;poubelle;rubbish/dustbin, garbage can;çöp sepeti, çöp tenekesi;f.;pubel;-1
7070;pouce;thumb, big toe;baþparmak;m.;pus;-1
7071;poudre;powder;pudra, toz haline getirilmiþ...;m.;pudr;1734
7072;poudre à canon;gunpowder;barut;m.;pudr a kanoñ;1734
7073;pouf;pouffe;puf;m.;puf;-1
7074;poulain;foal;tay;m.;puleñ;-1
7075;poule;hen, fowl;tavuk;f.;pûl;1735
7076;poulet;chicken;piliç;m.;pule;1735
7077;pouls;pulse;nabýz;m.;pu;-1
7078;poumon;lung;ciðer, akciðer;m.;pumoñ;-1
7079;poupard (-e);chubby;tombul;adj.;pupar / pupard;-1
7080;poupée;doll;bebek (oyuncak);f.;pupe;-1
7081;pour + nom;for;için;prép.;pur;1736
7082;pour + infinitif;to / in order to;…mek için;prép.;pur;1736
7083;pour que + subjonctif;in order that;….sin diye;prép.;pur;1736
7084;pourboire;tip;bahþiþ;m.;purbuar;-1
7085;pour-cent;percent;yüzde ( % );m.;pursañ;1737
7086;pourcentage;percentage;yüzdelik, yüzde oraný;m.;pursañtaj;1737
7087;pourquoi;why;neden, niçin, niye;adv.;purkua;-1
7088;pourri (-e);rotten;çürümüþ, berbat;adj.;puri;-1
7089;poursuite;pursuit;kovalama;f.;pursüit;1738
7090;poursuites;legal action;tahkikat, kovuþturma;f.;pursüit;1738
7091;poursuivre  ;topursue;kovalamak, ardýndan gitmek;v.;pursüivr;1738
7092;pourtant;after all;bununla birlikte, yine de;adv.;purtañ;-1
7093;pourvoi;appeal;temyiz;m;purvua;-1
7094;pourvu que;provided that;yeter ki;conj.;purvü kö;-1
7095;pousse;shoot;filiz;f.;pus;1739
7096;pousser;topush;itmek;v.;puse;1739
7097;pousser;togrow;büyütmek, uzatmak (saç, bitki);v.;puse;1739
7098;poussette;pushchair, baby carriage;bebek/çocuk arabasý, puset;f.;puset;1739
7099;poussière;dust;toz;f.;pusiyer;1740
7100;poussiéreux (-euse);dusty;tozlu;adj.;pusiyerö;1740
7101;poussin;chick;civciv;m.;puseñ;-1
7102;pouvoir;tocan, be able, may; -ebilmek (yeterlilik bildirir) ;v.;puvuar;1741
7103;pouvoir;government, rule, authority;erk iktidar, yetki;m.;puvuar;1741
7104;pouvoir d'achat;spending power;alým gücü;m.;puvuar d'aþa;1741
7105;pouvoir exécutif;executive power;yürütme gücü;m.;puvuar egzekütif;1741
7106;pouvoir judiciaire;judicial power;yargý gücü;m.;puvuar jüdisiyer;1741
7107;pouvoir législatif;legislature;yasama gücü;m.;lejislâtif (puvuar);1741
7108;prairie;meadow;çayýr;f.;preri;-1
7109;pratique;pratical;kullanýþlý, pratik;adj.;pratik;1742
7110;pratiquer;topractise;uygulamak;v.;pratike;1742
7111;pré;meadow;çayýr;m.;pre;-1
7112;préalable;preliminary, prior;ilk, ön;adj.;prealâbl;1743
7113;préavis;notice;bildirim (yazýlý);m.;preavi;1743
7114;précaire;precarious;güvenilmez, eðreti;adj.;preker;-1
7115;précaution;precaution;önlem, tedbir;f.;prekosyoñ;1743
7116;précédent (-e);former, previous;önceki, evvelki;adj.;presedañ;1744
7117;précéder;toprecede;önce olmak, evvel olmak;v.;presede;1744
7118;précepte;precept;farz;m.;presept;-1
7119;précepteur (-trice);tutor;özel eðitmen, mürebbiye;m.f.;preseptör;-1
7120;précieux (-euse);precious;deðerli;adj.;presiyö/presiyöz;-1
7121;seprécipiter ;todash;atýlmak;v.;sö presipite;-1
7122;précis (-e);precise, specific;belirgin, açýk seçik;adj.;presi/presiz;1745
7123;préciser;tospecify;belirtmek, açýk seçik söylemek;v.;presize;1745
7124;précoce;precocious;erken geliþmiþ, turfanda;adj.;prekos;-1
7125;précurseur;forerunner;müjdeci, haberci;m.;prekürsör;-1
7126;prédécesseur;predecessor;selef;m.;predesesör;-1
7127;prédicateur;preacher;vaiz;m.;predikatör;-1
7128;prédire;topredict;önceden bildirmek, kehanet etmek;v.;predir;-1
7129;préface;preface;önsöz;f.;prefas;1743
7130;préfecture;prefecture;valilik;f.;prefektür;1746
7131;préfecture de police;police head-quarters;emniyet müdürlüðü;f.;prefektür dö polis;1746
7132;préférable;preferable;daha iyi, yeð;adj.;preferabl;1747
7133;préféré (-e);favorite;tercih edilen, yeð tutulan;adj.;prefere;1747
7134;parpréférence;preferably;tercihen;exp.;par preferans;1747
7135;préférence;preference;tercih, yeð tutma;f.;preferans;1747
7136;préférer ;toprefer ;tercih etmek, yeð tutmak;v.;prefere;1747
7137;préfet;prefect;vali;m.;prefe;1748
7138;sous-préfet;sub-prefect;kaymakam;m.;su-prefe;1748
7139;préfet de police;chief of police;emniyet müdürü;m.;prefe dö polis;1748
7140;préfixe;prefix;önek;m.;prefiks;1743
7141;préhistoire;prehistory;tarih öncesi;f.;preistuar;1749
7142;préhistorique;prehistoric;tarih öncesine ait;adj.;preistorik;1749
7143;préjudice;harm;zarar;m.;prejüdis;-1
7144;préjugé;prejudice;önyargý;m.;prejüje;-1
7145;prélèvement;deduction;parça alma, çýkarma;m.;prelevmañ;-1
7146;préliminaire;préliminaire;hazýrlayýcý;adj.;preliminer;-1
7147;prématuré (-e);premature;erken doðmuþ, prematüre;adj.;prematüre;-1
7148;premier (-ère);first;ilk;adj.;prömiye/prömiyer;1750
7149;Premier Ministre;Prime Minister, Premier;Baþbakan;m.;prömiye ministr;1750
7150;première vente;first sale;siftah;f.;prömiyer vant;1750
7151;premiers secours;first aid;ilkyardým;m.;prömiye sökur;1750
7152;prénatal (-e);antenatal;doðum öncesi;adj.;prenatal;1469
7153;prendre;totake;almak, sapmak (yol);v.;prandr;1751
7154;prendre bain / douche;tohave a bath;yýkanmak;v.;prandr beñ / duþ;1751
7155;prendre feu;tocatch fire;tutuþmak;v.;prandr fö;1751
7156;prendre froid;tocatch cold;üþütmek;v.;prandr frua;1751
7157;prendre photo;totake a photo;çekmek (fotoðraf);v.;prandr;1751
7158;prendre un bain de soleil;tosun bathe;güneþlenmek;v.;prandr œñ beñ dö soley;1751
7159;preneur (-euse);buyer;alýcý;adj.;prönör;1751
7160;prénom;first name;ilk ad;m.;prenom(prenoñ);1498
7161;préoccupation;worry, preoccupation;endiþe, tasa;f.;preoküpasyoñ;1752
7162;préoccuper;toworry;endiþelendirmek, tasalandýrmak;v.;preoküpe;1752
7163;sepréoccuper ;toworry;endiþelenmek, tasalanmak;v.;sö preoküpe;1752
7164;préparation;preparation;hazýrlýk;f.;preparasyoñ;1753
7165;préparatoire;preparatory;hazýrlayýcý;adj.;preparatuar;1753
7166;préparer;toprepare, make;hazýrlamak;v.;prepare;1753
7167;sepréparer ;toget ready;hazýrlanmak;v.;sö prepare;1753
7168;préposé(-e) de village;village employee;muhtar;adj.;prepoze dö vilaj;-1
7169;préposition;preposition;edat, ilgeç;f.;prepozisyoñ;-1
7170;préretraite;early retirement;erken emeklilik;f.;prerötret;-1
7171;près de;near, close to;yakýn;adv.;pre dö;-1
7172;prescription;prescription;reçete;f.;preskripsiyoñ;1754
7173;prescrire;toprescribe;salýk vermek;v.;preskrir;1754
7174;présence;presence;mevcudiyet, varolma;f.;prezans;1755
7175;présent (-e);present;mevcut, þu anda ki;adj.;prezañ/prezant;1755
7176;présent;present tense;þimdiki zaman;m.;prezañ;1755
7177;présentateur (-trice);presenter;sunucu, spiker;m.f.;prezañtatör/-tris;1756
7178;présentation;presentation, introduction;sunma (haber), tanýþtýrma;f.;prezañtasyoñ;1756
7179;présenter;topresent, introduce;sunmak, tanýþtýrmak;v.;prezañte;1756
7180;seprésenter ;topresent oneself;tanýtmak (kendini);v.;sö prezañte;1756
7181;préserver;toprotect, to preserve from;korumak;v.;prezerve;-1
7182;présidence;presidency, chairmanship;baþkanlýk;f.;prezidans;1757
7183;président (-e);president, chairman-woman;baþkan;m.f.;prezidañ/-ant;1757
7184;président de la république;president of republic;reisicumhur;m.;prezidañ dö la repüblik;1757
7185;président(e) directeur général (PDG)     pedeje;chairman&managing director;genel müdür;;;1757
7186;présidentiel (-le);presidential;baþkanlýða deðin;adj.;prezidañsiyel;1757
7187;présider;topreside;baþkanlýk etmek;v.;prezide;1757
7188;présomptueux (-euse);presumptuous;kasýntýlý, küstah;adj.;prezoñtüö;-1
7189;presque;almost;neredeyse, hemen hemen;adv.;presk(ö);1758
7190;presqu'île;peninsula;yarýmada;f.;presk'il;1758
7191;presse;press;basýn;f.;pres;-1
7192;pressé (-e);in a hurry;acelesi olan, acil;adj.;prese;1759
7193;pressentiment;presentiment;önsezi;m.;presantimañ;-1
7194;presser;topress;bastýrmak, baský yapmak;v.;prese;1759
7195;presser;tosqueez;suyunu sýkmak;v.;prese;1759
7196;pression;pressure;basýnç, baský;f.;presyoñ;1759
7197;prestation;allowance;ödenek;f.;prestasyoñ;-1
7198;prestige;prestige;itibar, saygýnlýk, prestij;m.;prestij;-1
7199;présumer;topresume, assume;varsaymak, düþünmek;v.;prezüme;-1
7200;prêt (-e);ready;hazýr;adj.;pre/pret;1760
7201;prêt;loan;ödünç;m.;pre;1760
7202;prêt à porter;ready-to-wear clothes;hazýr giyim;exp.;pretaporte;1760
7203;prétendre;toclaim;ileri sürmek, savlamak ;v.;pretandr;1761
7204;prétendu (-e);so-called;sözde;adj.;pretañdü;1761
7205;prétentieux (-euse);pretentious;kendini beðenmiþ;adj.;pretansiyö/-yöz;1762
7206;prétention;pretentiousness;kendini beðenmiþlik;f.;pretansiyoñ;1762
7207;prêter;tolend;borç vermek, ödünç vermek;v.;prete;1763
7208;prêteur (-euse);lender;tefeci, borç veren;adj.;pretör/pretöz;1763
7209;prétexte;pretext, excuse;bahane;m.;pretekst;-1
7210;prêtre;priest;"rahip; papaz";m.;pretr;-1
7211;preuve;proof, evidence;kanýt, delil;f.;pröv;1764
7212;prévenir;towarn;uyarmak, haberdar etmek;v.;prevönir;1765
7213;prévention;prevention;tedbir;f.;prevansiyoñ;1765
7214;prévention routière;road safety;yol emniyeti;f.;prevansiyoñ rutiyer;1765
7215;prévenu (-e);defendant;sanýk;m.f.;prevönü;-1
7216;prévisible;predictable;tahmin edilebilir, öngörülebilir;adj.;previzibl;1766
7217;prévision;prediction;tahmin, öngörü;f.;previzyoñ;1766
7218;prévisions météorologiques;weather forecast;hava tahmini;f.;previzyoñ meteorolojik;1766
7219;prévoir;toforesee, forecast ;tahmin etmek,öngörmek;v.;prevuar;1766
7220;prévoyance;foresight;tahmin, öngörü;f.;prevuayans;1766
7221;prévoyant (-e);foresighted;öngörülü, falcý;m.f.;prevuayañ/-yant;1766
7222;prier;toask;rica etmek, yalvarmak;v.;priye;1767
7223;prier;topray;dua etmek;v.;priye;1767
7224;faire sa prière;topray;ibadet etmek;v.;fer sa priyer;1767
7225;prière;prayer;"namaz ; dua";f.;priyer;1767
7226;primaire;primary;ilk, birincil;adj.;primer;1768
7227;prime;free gift, bonus;prim;f.;prim;1768
7228;prime;premium;prim (sigorta primi);f.;prim;1768
7229;primitif (-ve);primitive;ilkel;adj.;primitif/primitiv;1768
7230;primordial (-e);essential;önemli, esas;adj.;primordiyal;1768
7231;prince;prince, princess;prens, prenses;m.f.;prens/prenses;1769
7232;prince royal;royal prince;þehzâde;m.;prens ruayal;1769
7233;principal (-e);principal, main, essential;baþlýca, esas, temel;adj.;preñsipâl;1770
7234;principalement;principally, mainly;baþlýca;adv.;preñsipâlmañ;1770
7235;principe;principal;ilke, prensip;m.;preñsip;1770
7236;printanier (-ère);spring-like;bahar gibi;adj.;preñtañiye/-yer;1771
7237;printemps;spring;ilkbahar;m.;preñtañ;1771
7238;prioritaire;priority;öncelikli;adj.;priyoriter;1772
7239;priorité;priority;öncelik;f.;priyorite;1772
7240;pris (-e);taken, busy;tutulmuþ, meþgul;adj.;pri/priz;1751
7241;prise;plug, socket;priz;f.;priz;-1
7242;prisme;prism;prizma;m.;prizm;-1
7243;prison;prison, jail;mapushane, hapishane, cezaevi;m.;prizoñ;1773
7244;prisonnier (-ère);prisoner;mahkûm, mahpus;m.f.;prizoñiye/-yer;1773
7245;privation;deprivation;mahrumiyet, eksiklik;f.;privasyoñ;-1
7246;privatiser;toprivatize;özelleþtirmek;v.;privatize;1774
7247;privé (-e);private;özel;adj.;prive;1774
7248;priver de...;todeprive of...;yoksun býrakmak,mahrum etmek;v.;prive dö…;1774
7249;privilège;privilege;ayrýcalýk, imtiyaz;m.;privilej;-1
7250;prix;price;fiyat, bedel;m.;pri;1775
7251;prix;prize, award;ödül;m.;pri;1775
7252;prix courant;current price;rayiç;m.;pri kurañ;1775
7253;prix de revient;cost price;maliyet;m.;pri dö röviyeñ;1775
7254;probabilité;probability;olasýlýk;f.;probabilite;1776
7255;probable;probable;olasý, muhtemel;adj.;probabl;1776
7256;probablement;probably;olasýlýkla, muhtemelen;adv.;probabl(ö)mañ;1776
7257;problématique;problem;sorunsal;f.;problematik;1777
7258;problème;problem;sorun, dert, problem;m.;problem;1777
7259;procédé;process, practice;davranýþ, yöntem;m.;prosede;1778
7260;procéder;toproceed;davranmak;v.;prosede;1778
7261;procédure;procedure;prosedür, usül, yöntem;f.;prosedür;1778
7262;procès;trial;dâvâ, duruþma;m.;prose;1779
7263;processus;process;süreç, geliþme;m.;prosesüs;1779
7264;procès-verbal;report;zabýt;m.;prose-verbal;1779
7265;procès-verbal (p-v);(contravention) ticket;tutanak, trafik cezasý;m.;prose-verbâl;1779
7266;prochain (-e);next;gelecek, bir sonraki;adj.;proþeñ/proþen;1780
7267;prochainement;soon;yakýnda;adv.;proþenmañ;1780
7268;proche;close;ahbap, akadaþ, yakýn (tanýdýk);m.f.;proþ;1781
7269;proche;near to, close;yakýn;adj.;proþ;1781
7270;Proche-Orient;Near East;Yakýn Doðu;m.;proþ-oriyañ;1781
7271;proclamation;declaration, proclamation;ilân, bildiri;f.;proklamasyoñ;1782
7272;proclamer;toproclaim, declare;bildirmek, ilân etmek;v.;proklame;1782
7273;parprocuration;interim;vekâleten;adv.;paar prokürasyoñ;1783
7274;procuration;procuration;vekâlet;f.;prokürasyoñ;1783
7275;seprocurer;toobtain;saðlamak (kendine...), edinmek;v.;sö proküre;1783
7276;procurer à qqn;tobring to..;saðlamak (birine...);v.;proküre a kelkœñ;1783
7277;procureur;prosecutor (public);savcý;m.;prokürör;1783
7278;procureur général;attorney general;baþsavcý;m.;prokürör jeneral;1783
7279;prodige;marvel;mucize;m.;prodij;1784
7280;prodige;prodigy;olaðanüstü kimse;adj.;prodij;1784
7281;prodigieux (-euse);prodigious;olaðanüstü ;adj.;prodijiyö/-yöz;1784
7282;prodigue;wasteful;savurgan, müsrif;adj.;prodig;-1
7283;producteur (-trice);producer, manufacturer;üretici, imâlatçý, prodüktör;m.f.;prodüktör /-tris;1785
7284;productif (-ve);productive;üretken, verimli;adj.;prodüktif / -iv;1785
7285;production;production;üretim, imâlat, prodüksiyon;f.;prodüksiyoñ;1785
7286;production en série;mass production;seri üretim;f.;prodüksiyoñ añ seri;1785
7287;productivité;productivity;üretkenlik, verimlilik;f.;prodüktivite;1785
7288;produire   ;toproduce;üretmek, oluþturmak;v.;prodüir;1785
7289;produit;product;ürün, mahsul, mâmul;m.;prodüi;1785
7290;produit de beauté;cosmetic;kozmetik;m.;prodüi dö bote;1785
7291;professeur;teacher;öðretmen;m.;profesör;1786
7292;professeur;professor ;profesör;m.;profesör;1786
7293;profession;occupation;meslek, uðraþ;f.;profesyoñ;1787
7294;professionnel (-le);professional;profesyonel, meslekî uzman;m.f.;profesyonel;1787
7295;profil;profile;yandan görünüþ, profil;m.;profil;-1
7296;profit;profit, benefit;yarar, çýkar, kâr, menfaat, fayda;m.;profi;1788
7297;profitable;profitable;yararlý, kazançlý, kârlý, faydalý;adj.;profitâbl;1788
7298;profiter à qqn;tobenefit;yararý dokunmak (birine);v.;profite a kelkœñ;1788
7299;profiter de qq ch;totake advantage of;yararlanmak (birþeyden);v.;profite dö kelkö þoz;1788
7300;profiter de…;toprofit from;istifade etmek;v.;profite dö;1788
7301;profond (-e);deep, profound;derin;adj.;profoñ/profond;1789
7302;profondément;profondly;derin olarak, derinden;adv.;profondemañ;1789
7303;profondeur;depth;derinlik;m.;profondör;1789
7304;programmation;programming;programlama;f.;programasyoñ;1790
7305;programme;programme, syllabus (scol);program;m.;program;1790
7306;programmeur (-euse);computer programmer;bilgisayar programcýsý;m.f.;programör;1790
7307;progrès;progress;geliþme, ilerleme, aþama;m.;progre;1791
7308;progresser;toprogress;geliþmek, ilerlemek;v.;progrese;1791
7309;progressif (-ve);progressive;geliþen, ilerleyen;adj.;progresif/-iv;1791
7310;progression;progression;geliþme, ilerleyiþ;f.;progresyoñ;1791
7311;progressivement;progressively;geliþerek, ilerleyerek;adv.;progresivmañ;1791
7312;prohibitif (-ve);prohibitive;yasaklayýcý, sýnýrlayýcý;adj.;pro(ð)ibitif/-iv;-1
7313;proie;prey;av;f.;prua;1792
7314;être en proie à qq ch ;tobe tormented by...;maruz bulunmak (birþeye...);v.;prua a kelkö þoz;1792
7315;projecteur;floodlight, projector;ýþýldak, projektör;m.;projektör;1793
7316;projection;projection;izdüþüm, gösterim;f.;projeksiyoñ;1793
7317;projet;plan;tasarý, proje;m.;proje;1793
7318;projeter de...;toplan;tasarlamak;v.;projöte dö…;1793
7319;prolétaire;proletarian;proletarya, emekçi sýnýfý;m.;proleter;1794
7320;prolétaire;proletarian;emekçi;m.f.;proleter;1794
7321;prololongation;extension;uzatma (zaman);f.;proloñgasyoñ;1795
7322;prololongations;extra time;uzatmalar (futbol);f.;proloñgasyoñ;1795
7323;prolongement;extension;uzatma;m.;prolonjmañ;1795
7324;prolonger;toextend;uzatmak, sürdürmek;v.;proloñje;1795
7325;seprolonger;togo on;uzamak, sürmek, devam etmek;v.;sö proloñje;1795
7326;promenade;walk;gezinti, dolaþma;f.;promönad;1796
7327;promener;totake for a walk;gezdirmek, dolaþtýrmak;v.;promöne;1796
7328;sepromener;towalk, go for a walk;gezmek, gezinmek, dolaþmak;v.;sö promöne;1796
7329;promeneur (-euse);walker;gezinen, dolaþan;m.f.;promönör/-öz;1796
7330;promesse;promise;söz, vait;f.;promes;1797
7331;prometeur (-euse);promising;söz veren;m.f.;prometör/-öz;1797
7332;promettre;topromise;söz vermek, vaat etmek;v.;prometr;1797
7333;promotion;special offer;tanýtma;f.;promosyoñ;1798
7334;promotion;promotion;yükselme, terfî;f.;promosyoñ;1798
7335;promouvoir;topromote;yükseltmek, terfi ettirmek;v.;promuvuar;1798
7336;prompt (-e);swift;tez, çabuk;adj.;proñt;-1
7337;promu (-e);promoted;terfî almýþ;adj.;promü;1798
7338;prôner;topraise;övmek;v.;prone;-1
7339;pronociation;pronunciation;telâffuz;f.;pronoñsiyasyoñ;1799
7340;pronom;pronoun;adýl, zamir;m.;pronom(pronoñ);1800
7341;pronominal (-e);pronominal;adýla deðin, dönüþlü çatý (fiil);adj.;pronominâl;1800
7342;prononcer;topronounce;söylemek, telâfuz etmek;v.;prononse;1799
7343;propagande;propaganda;propaganda, yaymaca;f.;propagand;-1
7344;propager;tospread;yaymak;v.;propaje;1801
7345;sepropager;topropagate;yayýlmak;v.;sö propaje;1801
7346;prophète;prophet;peygamber, kâhin;m.f.;profet;1802
7347;prophétie;prophecy;kehânet;f.;profeti;1802
7348;proportion;proportion;oran, orantý;f.;proporsiyoñ;1803
7349;proportionné (-e);proportionate;orantýlý;adj.;proporsiyone;1803
7350;proportionnel (-le);proportional;oranlý, nisbî;adj.;proporsiyonel;1803
7351;proportionnellement;proportionately;orantýlý olarak;adv.;proporsiyonelmañ;1803
7352;propos;subject;konu, söz;m.;propo;1804
7353;à ce propos ;about it;bu konuda;m.;a sö propo;1804
7354;àpropos ;by the way;bu arada;exp.;a propo;1804
7355;àpropos de...;about...;konusunda, hakkýnda;m.;a propo dö;1804
7356;proposer;tosuggest, propose;önermek, teklif etmek;v.;propoze;1805
7357;proposition;proposition, proposal;öneri, teklif;f.;propozisyoñ;1805
7358;nom propre;proper noun;özel isim;m.;nom(noñ) propr;1806
7359;propre;clean, neat;temiz, özenli;adj.;propr;1806
7360;propre;own;kendi, öz;adj.;propr;1806
7361;propre à;own;özgü, mahsus;adj.;propr a;1806
7362;proprement;neatly;temiz temiz, temizce;adv.;proprmañ;1806
7363;propreté;cleanliness;temizlik;f.;propr(ö)te;1806
7364;propriétaire;owner;mal sahibi;m.f.;propriyeter;1807
7365;propriété;property;iyelik, mülkiyet;f.;propriyete;1807
7366;propriété;ownership;mülk;f.;propriyete;1807
7367;prose;prose;düzyazý, nesir;f.;proz;-1
7368;prospectus;leaflet;tanýtma yazýsý, prospektüs;m.;prospektüs;-1
7369;prospère;flourishing, thriving;gönençli, müreffeh, refah içinde;adj.;prosper;1808
7370;prospérité;prosperity;gönenç, refah;f.;prosperite;1808
7371;prostate;prostate;prostat;f.;prostat;-1
7372;prostituée;prostitute;orospu, fahiþe;f.;prostitüe;-1
7373;protecteur (-trice);protector;koruyucu, himaye edici;m.f.;protektör;1809
7374;protection;protection;koruma, himaye;f.;proteksiyoñ;1809
7375;protéger;toguard,safeguard, protect;esirgemek, korumak, kayýrmak;v.;proteje;1809
7376;seprotéger ;toprotect oneself;korunmak;v.;sö proteje;1809
7377;protéine;protein;protein;f.;protein;-1
7378;Protestanisme;Protestanism;protestanlýk;m.;protestanizm;1810
7379;protestant (-e);protestant;protestan;m.f.;protestañ/-ant;1810
7380;protestation;protest ;itiraz, gösteri, protesto;f.;protestasyoñ;1810
7381;protester;toprotest ;itiraz, protesto etm.,   ;v.;proteste;1810
7382;prothèse;prothesis;protez;f.;protez;-1
7383;protocole;protocol;protokol, törendüzen;m.;protokôl;-1
7384;prouver;toprove;kanýtlamak, ispatlamak;v.;pruve;1764
7385;provenance;origin;köken, menþeî;f.;provönans;1811
7386;Provençal (-e);Provençal;Provence'lý ;m.f.;provañsâl;1812
7387;Provençal;Provençal;Provence dili;m.;provañsâl;1812
7388;provenir de;tocome from;ileri gelmek, doðmak (-den);v.;provönir dö;1811
7389;proverbe;proverb;atasözü;m.;proverb;-1
7390;province;province;taþra;f.;provens;1813
7391;provincial (-e);provincial;taþralý;adj.;provensiyal;1813
7392;proviseur;head-master;lise müdürü;m.;provizör;-1
7393;provision;supply, food shopping,provision;yedek, erzak, nevale;f.;provizyoñ;24
7394;provisoire;provisional;geçici, eðreti;adj.;provizuar;1814
7395;provisoirement;provisionally;geçici / eðreti olarak;adv.;provizuarmañ;1814
7396;provocant (-e);provocative;kýþkýrtan, tahrik eden;adj.;provokañ/-ant;1815
7397;provocateur (-trice);provoker;kýþkýrtýcý;adj.;provokatör/-tris;1815
7398;provocation;provocation;provokasyon, kýþkýrtma, tahrik ;f.;provokasyoñ;1815
7399;provoquer;toprovoke;kýþkýrtmak, tahrik etmek;v.;provoke;1815
7400;proximité;proximity;yakýnlýk;f.;proksimite;1816
7401;àproximité de...;close to...;yakýnlarda, -in yakýnýnda;adv.;a proksimite dö…;1816
7402;prudemment;carefully, cautiously;sakýnýmlý, ihtiyatlý olarak;adv.;prüdamañ;1817
7403;prudence;caution, prudence;sakýným, ihtiyat, tedbirlilik;f.;prüdans;1817
7404;prudent (-e);prudent;tedbirli;adj.;prüdañ / prüdant;1817
7405;prudent (-e);careful, cautious, wise;sakýnýmlý, ihtiyatlý;adj.;prüdañ/prüdant;1817
7406;prune;plum;erik;f.;prün;1818
7407;pruneau;prune;erik kurusu, kuru erik;m.;prüno;1818
7408;prunelle;sloe;daðeriði, yabaneriði;f.;prünel;1818
7409;prunier;plum tree;erik aðacý;m.;prüniye;1818
7410;PS: post-scriptum;post-script;hâmiþ-dipnot;m.;pe-es;-1
7411;pseudonyme;pseudonym;takma ad, rumuz;m.;psödonim;-1
7412;psychanalyse;psychoanalysis;psikalanaliz,ruhsal çözüm;f.;psikanaliz;1819
7413;psychanalyste;psychoanalyst;psikalanalist;m.f.;psikanalist;1819
7414;psychiatre;psychiatrist;psikiyatr, ruh hekimi, akýl hastalýðý dr.;m.f.;psikiyatr;1820
7415;psychiatrie;psychiatry;psikiyatri, ruh hekimliði,akýl hastalýðý;f.;psikiyatri;1820
7416;psychiatrique;psychiatric;ruh hekimliði, akýl hastalýðý ile ilgili;adj.;psikiyatrik;1820
7417;psychique;mental, psychic;ruhsal, ruhla ilgili, psiþik;adj.;psiþik;1820
7418;psychologie;psychology;"psikoloji, ruhbilim; ruhsal durum";f.;psikoloji;1820
7419;psychologique;psychological;ruhbilimsel;adj.;psikôlojik;1820
7420;psychologue;psychologist;psikolog, ruhbilimci;m.f.;psikolog;1820
7421;psychopathe;psychopath;psikopat;m.f.;psikopat;1820
7422;puant (-e);stinking;pis kokan;adj.;püañ/püant;-1
7423;pub (publicité);publicity, advertising;reklam, tanýtma;f.;püb;-1
7424;puberté;puberty;erinlik, büluð;f.;püberte;-1
7425;public;public;kamu;m.;püblik;1821
7426;public (publique);public;halkla, kamuyla ilgili;adj.;püblik;1821
7427;publication;publication;yayýn, yayým, ilân;f.;püblikasyoñ;1822
7428;publicitaire;publicity;reklamla, tanýtýmla ilgili;adj.;püblisiter;1823
7429;publicitaire;publicity;reklamcý, tanýtýmcý;m.f.;püblisiter;1823
7430;publicité;publicity, advertising;reklam, tanýtma;f.;püblisite;1823
7431;publier;topublish;yayýmlamak, yayýn yapmak;v.;pübliye;1822
7432;publiquement;publicly;herkesin önünde, açýk açýk;adv.;püblikmañ;1821
7433;puce;"flea; chip";"pire; çip";f.;püs;-1
7434;puer;tostink;pis kokmak;v.;püe;-1
7435;puis;then;sonra (zaman);adv.;püi;-1
7436;puisque;as;madem ki, -diðine göre;conj.;püisk(ö);-1
7437;puissance;power;güç, etki, nüfuz;f.;püisans;1824
7438;puissant (-e);powerfull;güçlü, etkili, nüfuzlu, kudretli;adj.;püisañ/püisant;1824
7439;puits;well;kuyu;m.;püi;-1
7440;pull(-over);pullover, jumper;kazak, süveter;m.;pül(-over);-1
7441;punch;punch;bir çeþit alkollü içecek;m.;pañç;-1
7442;punir ;topunish ;cezalandýrmak, ceza vermek;v.;pünir;-1
7443;pupille;pupil;gözbebeði;f.;püpiy;-1
7444;pupitre;desk;sýra (okul, sýnýf sýrasý);m.;püpitr;-1
7445;pur (-e);pure;arý, katkýsýz, temiz, halis, salt;adj.;pür;1825
7446;purée;purée, mashed potatoes;püre;f.;püre;-1
7447;pureté;purity;arýlýk, katýksýzlýk;f.;pür(ö)te;1825
7448;purifier;topurify;arýtmak, temizlemek;v.;pürifiye;1825
7449;pur-sang;thoroughbred (horse);safkan at;m.;pür-sañg;1825
7450;pus;pus;irin;m.;pü;-1
7451;putain;whore;orospu, boktan (argo);f.;püteñ;-1
7452;p-v (procès-verbal);(contravention) ticket;tutanak, trafik cezasý;m.;peve(prose-verbâl);-1
7453;pyjama;pajamas, pyjamas;pijama;m.;pijama;-1
7454;pyramide;pyramid;piramit;f.;piramid;-1
7455;Pyrénées;Pyrenees;Pireneler;n.;pirene;-1
7456;pyromane;arsonist;kundakçý;m.f.;piroman;-1
7457;python;python;piton;m.;pitoñ;-1
7458;quadruple;quadruple;dört kat;adj.;küadrupl;1826
7459;quadrupler;toquadruple;dört katýna çýkarmak;v.;küadruple;1826
7460;quai;quay;rýhtým, iskele;m.;ke;1827
7461;quai;platform;peron;m.;ke;1827
7462;qualification;qualification, skills;nitelik, vasýflandýrma;f.;kalifikasyoñ;1828
